Tableau 1
Id;011EC_Lot;012EC_Ouvrage;013EC_Localisation;014EC_Mode Constructif;Nom;Hauteur;Epaisseur;AI;AS;Sols en intersection;Sols coupés (u);Sols coupés (Ids);Sols coupants (u);Sols coupants (Ids);Sol au-dessus;Sol en-dessous;Fenêtres;Portes;Ouvertures;Murs imbriqués;Mur multicouche;Mur empilé;Profil modifié;Image;Catégorie;Section;Type prédéfini d'IFC;Exporter au format IFC sous;Exporter au format IFC;IfcGUID;Variantes;Extension inférieure;Extension supérieure;Volume;Surface;Phase de démolition;Phase de création;Commentaires;Longueur;Famille et type;Famille;Type;Nom de la famille;Nom du type;ID du type;Lié au volume;Structure;Identifiant;Ligne de justification;Utilisation structurelle;Partie inférieure attachée;Partie supérieure attachée;Décalage supérieur;Décalage inférieur;Contrainte inférieure;Hauteur non contrainte;Contrainte supérieure;Limite de pièce;Visible dans les nomenclatures;Légende détails;O - Finition;O - Teinte;Composition;IdGtcParameter;IdGtcParameterCreationTime;EIF_STR - Impact;Image du type;Note d'identification;Type: Type prédéfini d'IFC;Exporter le type au format IFC sous;Exporter le type au format IFC;Type IfcGUID;Modèle;Fabricant;Commentaires du type;URL;Description;Matériau structurel;Rugosité;Coefficient d'absorbance;Masse thermique;Résistance thermique (R);Coefficient de transfert thermique (U);Description de l'assemblage;Code d'assemblage;Retournement aux insertions;Retournement aux extrémités;Couleur vue détail faible;Motif vue détail faible;Marque de type;Protection contre l'incendie;Coût;Fonction;Largeur;T - Teinte;T - Finition;T - Accessoire;Finition;Teinte;Reférence;A une association;Enrobage d'armature - Autres faces;Enrobage d'armature - Face intérieure;Enrobage d'armature - Face extérieure
636502;;;;;EIF_STR - Mur ep. 62;3,29000000000008;0,62;-2,94000000000002;0,350000000000055;0;0;;1;636929;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNPj;-1;0;0;65,6407640000018;105,872200000003;Aucun(e);Nouvelle construction;;31,5600000000001;Mur de base: EIF_STR - Mur ep. 62;Mur de base;EIF_STR - Mur ep. 62;;;928776;0;0;;2;0;0;0;0,0500000000002962;0,31;A&B_SS1;3,29000000000029;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;03kNMoz5n75Opf4aeF3oyx;;;Voile ép =62;;;<Par catégorie>;1;0,1;936882;0,592734225621415;1,68709677419355;;;0;0;0;;;;0;1;0,62;;;;;;;;;;
636503;;;;;EIF_STR - Mur ep. 62;3,28867628056769;0,62;-2,94000000000002;0,348676280567673;1;0;;2;646972,647247;True;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNPi;-1;0;0;37,8929894170593;61,4693363416546;Aucun(e);Nouvelle construction;;19,0900000000005;Mur de base: EIF_STR - Mur ep. 62;Mur de base;EIF_STR - Mur ep. 62;;;928776;0;0;;2;0;0;0;0,0486762805679142;0,31;A&B_SS1;3,2886762805679;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;03kNMoz5n75Opf4aeF3oyx;;;Voile ép =62;;;<Par catégorie>;1;0,1;936882;0,592734225621415;1,68709677419355;;;0;0;0;;;;0;1;0,62;;;;;;;;;;
636504;;;;;EIF_STR - Mur ep. 62;3,11000000000025;0,62;-2,94000000000002;0,170000000000235;0;0;;1;637095;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNPZ;-1;0;0;48,6292040020899;78,4342000033706;Aucun(e);Nouvelle construction;;25,0950000010817;Mur de base: EIF_STR - Mur ep. 62;Mur de base;EIF_STR - Mur ep. 62;;;928776;0;0;;2;0;0;0;-0,129999999999524;0,31;A&B_SS1;3,11000000000047;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;03kNMoz5n75Opf4aeF3oyx;;;Voile ép =62;;;<Par catégorie>;1;0,1;936882;0,592734225621415;1,68709677419355;;;0;0;0;;;;0;1;0,62;;;;;;;;;;
636505;;;;;EIF_STR - Mur ep. 62;3,10999999999529;0,62;-2,94000000000002;0,169999999995274;0;0;;0;;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNPY;-1;0;0;47,5949725982667;76,7684998620878;Aucun(e);Nouvelle construction;;24,2486275920482;Mur de base: EIF_STR - Mur ep. 62;Mur de base;EIF_STR - Mur ep. 62;;;928776;0;0;;2;0;0;0;-0,130000000004484;0,31;A&B_SS1;3,10999999999551;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;03kNMoz5n75Opf4aeF3oyx;;;Voile ép =62;;;<Par catégorie>;1;0,1;936882;0,592734225621415;1,68709677419355;;;0;0;0;;;;0;1;0,62;;;;;;;;;;
636506;;;;;EIF_STR - Mur ep. 62;3,28999999999948;0,62;-2,94000000000002;0,349999999999459;1;0;;1;636929;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNPX;-1;0;0;40,8061989999934;65,8164499999896;Aucun(e);Nouvelle construction;;20,19;Mur de base: EIF_STR - Mur ep. 62;Mur de base;EIF_STR - Mur ep. 62;;;928776;0;0;;2;0;0;0;0,0499999999997004;0,31;A&B_SS1;3,28999999999969;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;03kNMoz5n75Opf4aeF3oyx;;;Voile ép =62;;;<Par catégorie>;1;0,1;936882;0,592734225621415;1,68709677419355;;;0;0;0;;;;0;1;0,62;;;;;;;;;;
636629;;;;;EIF_STR - Mur ep. 20;3,28999999999977;0,2;-2,94000000000002;0,349999999999752;1;0;;0;;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRk;-1;0;0;3,95279353393631;19,7639676696816;Aucun(e);Nouvelle construction;;5,80728500598266;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;0,0499999999999935;0,31;A&B_SS1;3,28999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636630;;;;;EIF_STR - Mur ep. 20;3,05999999999977;0,2;-2,94000000000002;0,119999999999753;0;0;;0;;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRj;-1;0;0;2,6048699999998;13,024349999999;Aucun(e);Nouvelle construction;;4,88999999999998;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;PV;2;0;0;0;-0,180000000000006;0,31;A&B_SS1;3,05999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636631;;;;;EIF_STR - Mur ep. 20;3,05999999999977;0,2;-2,94000000000002;0,119999999999753;0;0;;0;;True;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRi;-1;0;0;3,55405842366135;17,7702921183068;Aucun(e);Nouvelle construction;;5,80728500598304;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,180000000000006;0,31;A&B_SS1;3,05999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636632;;;;;EIF_STR - Mur ep. 20;3,05999999999977;0,2;-2,94000000000002;0,119999999999752;0;0;;0;;False;True;0;0;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRZ;-1;0;0;2,87027999999976;14,3513999999988;Aucun(e);Nouvelle construction;;4,88999999999996;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,180000000000006;0,31;A&B_SS1;3,05999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
636636;;;;;EIF_STR - Mur ep. 20;3,05999999999977;0,2;-2,94000000000002;0,119999999999752;0;0;;0;;True;True;0;1;0;0;False;False;False;<Aucun>;Murs;1;;;0;0e30kvNPT6bRA1RB1hfNRd;-1;0;0;2,4796799999998;12,3983999999991;Aucun(e);Nouvelle construction;;4,88999999999998;Mur de base: EIF_STR - Mur ep. 20;Mur de base;EIF_STR - Mur ep. 20;;;393023;0;0;;2;0;0;0;-0,180000000000006;0,31;A&B_SS1;3,05999999999998;Jusqu'au niveau: A&B_RDC;1;0;;;;;0;0;1;<Aucun>;;;;0;15huGUOb14lPkBTGiL4BTB;;;Voile ép =20;;;<Par catégorie>;1;0,1;302220;0,191204588910134;5,23;;;0;0;0;;;;0;1;0,2;;;;;;;;;;
